+0 : No exe options
+1 : Increases acquisition rate of Zen after Hunting monster +40%
+2 : Defence success rate +10%
+4 : Reflect damage +5%
+8 : Damage decrease +4%
+16 : Increase Max mana +4%
+32 : Increase Max HP +4%
+63 : To all the above listed options

Command/Group/Item ID/Options/    Name     
Group    ID    Lvl    Skill    Luck    Life    Exc    Name
Swords    
/item 0 0 0 0 0 0 0 0 0 0     Kris
/item 0 1 0 0 0 0 0 0 0 0     Short Sword
/item 0 2 0 0 0 0 0 0 0 0    Rapier
/item 0 3 0 0 0 0 0 0 0 0    Katana
/item 0 4 0 0 0 0 0 0 0 0    Sword of Assassin
/item 0 5 0 1 0 0 0 0 0 0    Blade
/item 0 6 0 0 0 0 0 0 0 0    Gladius
/item 0 7 0 0 0 0 0 0 0 0    Falchion
/item 0 8 0 0 0 0 0 0 0 0    Serpent Sword
/item 0 9 0 0 0 0 0 0 0 0    Sword of Salamander
/item 0 10 0 0 0 0 0 0 0 0    Light Saber
/item 0 11 0 0 0 0 0 0 0 0    Legendary Sword
/item 0 12 0 0 0 0 0 0 0 0    Heliacal Sword
/item 0 13 0 0 0 0 0 0 0 0    Double Blade
/item 0 14 0 0 0 0 0 0 0 0    Lighting Sword
/item 0 15 0 0 0 0 0 0 0 0    Giant Sword
/item 0 16 0 0 0 0 0 0 0 0    Sword of Destruction
/item 0 17 0 0 0 0 0 0 0 0    Dark Breaker
/item 0 18 0 0 0 0 0 0 0 0    Thunder Blade
/item 0 19 0 0 0 0 0 0 0 0    Sword of Archangel
/item 0 20 0 0 0 0 0 0 0 0    Knight Blade
/item 0 21 0 0 0 0 0 0 0 0    Dark Reign Blade
/item 0 22 0 0 0 0 0 0 0 0    Bone Blade
/item 0 23 0 0 0 0 0 0 0 0    Explosion Blade
/item 0 24 0 0 0 0 0 0 0 0    Daybreak
/item 0 25 0 0 0 0 0 0 0 0    Sword Dancer
/item 0 26 0 0 0 0 0 0 0 0    Flameberge
/item 0 27 0 0 0 0 0 0 0 0    Sword Breaker
/item 0 28 0 0 0 0 0 0 0 0    Rune Bastard Sword
/item 0 31 0 0 0 0 0 0 0 0    Rune Blade
/item 0 32 0 0 0 0 0 0 0 0    Sacred Glove
/item 0 33 0 0 0 0 0 0 0 0    Holly Storm Claws
/item 0 34 0 0 0 0 0 0 0 0    Piercing Glove
Axes    
/item 1 0 0 0 0 0 0 0 0    0     Small Axe
/item 1 1 0 0 0 0 0 0 0 0    Hand Axe
/item 1 2 0 0 0 0 0 0 0 0    Double Axe
/item 1 3 0 0 0 0 0 0 0 0    Tomahawk
/item 1 4 0 0 0 0 0 0 0 0    Elven Axe
/item 1 5 0 0 0 0 0 0 0 0    Battle Axe
/item 1 6 0 0 0 0 0 0 0 0    Nikea Axe
/item 1 7 0 0 0 0 0 0 0 0    Larkan Axe
/item 1 8 0 0 0 0 0 0 0 0    Crescent Axe
Maces/Blunt Weapons    
/item 2 0 0 0 0 0 0 0 0    0     Mace
/item 2 1 0 0 0 0 0 0 0 0    Morning Star
/item 2 2 0 0 0 0 0 0 0 0    Flail
/item 2 3 0 0 0 0 0 0 0 0    Great Hammer
/item 2 4 0 0 0 0 0 0 0 0    Crystal Morning Star
/item 2 5 0 0 0 0 0 0 0 0    Crystal Sword
/item 2 6 0 0 0 0 0 0 0 0    Chaos Dragon Axe
/item 2 7 0 0 0 0 0 0 0 0    Elemental Mace
/item 2 8 0 0 0 0 0 0 0 0    Battle Scepter
/item 2 9 0 0 0 0 0 0 0 0    Master Scepter
/item 2 10 0 0 0 0 0 0 0 0    Great Scepter
/item 2 11 0 0 0 0 0 0 0 0    Lord Scepter
/item 2 12 0 0 0 0 0 0 0 0    Great Lord Scepter
/item 2 13 0 0 0 0 0 0 0 0    Scepter of Archangel
/item 2 14 0 0 0 0 0 0 0 0    Soleil Sceptor
/item 2 15 0 0 0 0 0 0 0 0    Shining Scepter
/item 2 16 0 0 0 0 0 0 0 0    Frost Mace
/item 2 17 0 0 0 0 0 0 0 0    Absolute Scepter
/item 2 18 0 0 0 0 0 0 0 0    Striker Scepter
Spears    
/item 3 0 0 0 0 0 0 0 0 0     Light Spear
/item 3 1 0 0 0 0 0 0 0 0    Spear
/item 3 2 0 0 0 0 0 0 0 0    Dragon Lance
/item 3 3 0 0 0 0 0 0 0 0    Giant Trident
/item 3 4 0 0 0 0 0 0 0 0    Serpent Spear
/item 3 5 0 0 0 0 0 0 0 0    Double Poleaxe
/item 3 6 0 0 0 0 0 0 0 0    Halberd
/item 3 7 0 0 0 0 0 0 0 0    Berdysh
/item 3 8 0 0 0 0 0 0 0 0    Great Scythe
/item 3 9 0 0 0 0 0 0 0 0    Bill of Balrog
/item 3 10 0 0 0 0 0 0 0 0    Dragon Spear
/item 3 11 0 0 0 0 0 0 0 0    Brova
Bows/Chrossbows/Ammo    
/item 4 0 0 0 0 0 0 0 0    0     Short Bow
/item 4 1 0 0 0 0 0 0 0 0    Bow
/item 4 2 0 0 0 0 0 0 0 0    Elven Bow
/item 4 3 0 0 0 0 0 0 0 0    Battle Bow
/item 4 4 0 0 0 0 0 0 0 0    Tiger Bow
/item 4 5 0 0 0 0 0 0 0 0    Silver Bow
/item 4 6 0 0 0 0 0 0 0 0    Chaos Nature Bow
/item 4 7 0 0 0 0 0 0 0 0    Bolt
/item 4 8 0 0 0 0 0 0 0 0    Crossbow
/item 4 9 0 0 0 0 0 0 0 0    Golden Crossbow
/item 4 10 0 0 0 0 0 0 0 0    Arquebus
/item 4 11 0 0 0 0 0 0 0 0    Light Crossbow
/item 4 12 0 0 0 0 0 0 0 0    Serpent Crossbow
/item 4 13 0 0 0 0 0 0 0 0    Bluewing Crossbow
/item 4 14 0 0 0 0 0 0 0 0    Aquagold Crossbow
/item 4 15 0 0 0 0 0 0 0 0    Arrow
/item 4 16 0 0 0 0 0 0 0 0    Saint Crossbow
/item 4 17 0 0 0 0 0 0 0 0    Celestial Bow
/item 4 18 0 0 0 0 0 0 0 0    Crossbow of Archangel
/item 4 19 0 0 0 0 0 0 0 0    Great Reign Crossbow
/item 4 20 0 0 0 0 0 0 0 0    Arrow Viper Bow
/item 4 21 0 0 0 0 0 0 0 0    Sylph Wind Bow
/item 4 22 0 0 0 0 0 0 0 0    Albatross Bow
/item 4 23 0 0 0 0 0 0 0 0    Dark Stinger
/item 4 24 0 0 0 0 0 0 0 0    Aileen Bow
Staffs/Sticks/Summoner Books    
/item 5 0 0 0 0 0 0 0 0    0     Skull Staff
/item 5 1 0 0 0 0 0 0 0 0    Angelic Staff
/item 5 2 0 0 0 0 0 0 0 0    Serpent Staff
/item 5 3 0 0 0 0 0 0 0 0    Thunder Staff
/item 5 4 0 0 0 0 0 0 0 0    Gorgon Staff
/item 5 5 0 0 0 0 0 0 0 0    Legendary Staff
/item 5 6 0 0 0 0 0 0 0 0    Staff of Resurrection
/item 5 7 0 0 0 0 0 0 0 0    Chaos Lighting Staff
/item 5 8 0 0 0 0 0 0 0 0    Staff of Destruction
/item 5 9 0 0 0 0 0 0 0 0    Dragon Soul Staff
/item 5 10 0 0 0 0 0 0 0 0    Staff of Archangel
/item 5 11 0 0 0 0 0 0 0 0    Staff of Kundun
/item 5 12 0 0 0 0 0 0 0 0    Grand Viper Staff
/item 5 13 0 0 0 0 0 0 0 0    Platina Staff
/item 5 14 0 0 0 0 0 0 0 0    Mystery Stick
/item 5 15 0 0 0 0 0 0 0 0    Violent Wind Stick
/item 5 16 0 0 0 0 0 0 0 0    Red Wing Stick
/item 5 17 0 0 0 0 0 0 0 0    Ancient Stick
/item 5 18 0 0 0 0 0 0 0 0    Demonic Stick
/item 5 19 0 0 0 0 0 0 0 0    Storm Blitz Stick
/item 5 21 0 0 0 0 0 0 0 0    Book of Samut
/item 5 22 0 0 0 0 0 0 0 0    Book of Neil
/item 5 23 0 0 0 0 0 0 0 0    Book of Lagle
/item 5 30 0 0 0 0 0 0 0 0    Deadly Staff
/item 5 31 0 0 0 0 0 0 0 0    Inberial Staff
/item 5 33 0 0 0 0 0 0 0 0    Chromatic Staff
/item 5 34 0 0 0 0 0 0 0 0    Raven Stick
Shields    
/item 6 0 0 0 0 0 0 0 0    0     Small Shield
/item 6 1 0 0 0 0 0 0 0 0    Horn Shield
/item 6 2 0 0 0 0 0 0 0 0    Kite Shield
/item 6 3 0 0 0 0 0 0 0 0    Elven Shield
/item 6 4 0 0 0 0 0 0 0 0    Buckler
/item 6 5 0 0 0 0 0 0 0 0    Dragon Slayer Shield
/item 6 6 0 0 0 0 0 0 0 0    Skull Shield
/item 6 7 0 0 0 0 0 0 0 0    Spiked Shield
/item 6 8 0 0 0 0 0 0 0 0    Tower Shield
/item 6 9 0 0 0 0 0 0 0 0    Plate Shield
/item 6 10 0 0 0 0 0 0 0 0    Large Round Shield
/item 6 11 0 0 0 0 0 0 0 0    Serpent Shield
/item 6 12 0 0 0 0 0 0 0 0    Bronze Shield
/item 6 13 0 0 0 0 0 0 0 0    Dragon Shield
/item 6 14 0 0 0 0 0 0 0 0    Legendary Shield
/item 6 15 0 0 0 0 0 0 0 0    Grand Soul Shield
/item 6 16 0 0 0 0 0 0 0 0    Elemental Shield
/item 6 17 0 0 0 0 0 0 0 0    Crimson Glory
/item 6 18 0 0 0 0 0 0 0 0    Salamander Shield
/item 6 19 0 0 0 0 0 0 0 0    Frost Barrier
/item 6 20 0 0 0 0 0 0 0 0    Guardian Shield
/item 6 21 0 0 0 0 0 0 0 0    Cross Shield
Helms    
/item 7 0 0 0 0 0 0 0 0    0     Bronze Helm
/item 7 1 0 0 0 0 0 0 0 0    Dragon Helm
/item 7 2 0 0 0 0 0 0 0 0    Pad Helm
/item 7 3 0 0 0 0 0 0 0 0    Legendary Helm
/item 7 4 0 0 0 0 0 0 0 0    Bone Helm
/item 7 5 0 0 0 0 0 0 0 0    Leather Helm
/item 7 6 0 0 0 0 0 0 0 0    Scale Helm
/item 7 7 0 0 0 0 0 0 0 0    Sphinx Mask
/item 7 8 0 0 0 0 0 0 0 0    Brass Helm
/item 7 9 0 0 0 0 0 0 0 0    Plate Helm
/item 7 10 0 0 0 0 0 0 0 0    Vine Helm
/item 7 11 0 0 0 0 0 0 0 0    Silk Helm
/item 7 12 0 0 0 0 0 0 0 0    Wind Helm
/item 7 13 0 0 0 0 0 0 0 0    Spirit Helm
/item 7 14 0 0 0 0 0 0 0 0    Guardian Helm
/item 7 16 0 0 0 0 0 0 0 0    Black Dragon Helm
/item 7 17 0 0 0 0 0 0 0 0    Dark Phoenix Helm
/item 7 18 0 0 0 0 0 0 0 0    Grand Soul Helm
/item 7 19 0 0 0 0 0 0 0 0    Divine Helm
/item 7 21 0 0 0 0 0 0 0 0    Great Dragon Helm
/item 7 22 0 0 0 0 0 0 0 0    Dark Soul Helm
/item 7 24 0 0 0 0 0 0 0 0    Red Spirit Helm
/item 7 25 0 0 0 0 0 0 0 0    Light Plate Mask
/item 7 26 0 0 0 0 0 0 0 0    Adamantine Mask
/item 7 27 0 0 0 0 0 0 0 0    Dark Steel Mask
/item 7 28 0 0 0 0 0 0 0 0    Dark Master Mask
/item 7 29 0 0 0 0 0 0 0 0    Dragon Knight Helm
/item 7 30 0 0 0 0 0 0 0 0    Venom Mist Helm
/item 7 31 0 0 0 0 0 0 0 0    Sylphid Ray Helm
/item 7 33 0 0 0 0 0 0 0 0    Sunlight Mask
/item 7 34 0 0 0 0 0 0 0 0    Ashcrow Helm
/item 7 35 0 0 0 0 0 0 0 0    Eclipse Helm
/item 7 36 0 0 0 0 0 0 0 0    Iris Helm
/item 7 38 0 0 0 0 0 0 0 0    Glorious Mask
/item 7 39 0 0 0 0 0 0 0 0    Violent Wind Helm
/item 7 40 0 0 0 0 0 0 0 0    Red Wing Helm
/item 7 41 0 0 0 0 0 0 0 0    Ancient Helm
/item 7 42 0 0 0 0 0 0 0 0    Demonic Helm
/item 7 43 0 0 0 0 0 0 0 0    Storm Blitz Helm
/item 7 45 0 0 0 0 0 0 0 0    Titan  Helm
/item 7 46 0 0 0 0 0 0 0 0    Brave Helm
/item 7 49 0 0 0 0 0 0 0 0    Seraphim Helm
/item 7 50 0 0 0 0 0 0 0 0    Divine Helm
/item 7 51 0 0 0 0 0 0 0 0    Royal Mask
/item 7 52 0 0 0 0 0 0 0 0    Hades Helm
/item 7 59 0 0 0 0 0 0 0 0    Sacred Helm
/item 7 60 0 0 0 0 0 0 0 0    Storm Hard Helm
/item 7 61 0 0 0 0 0 0 0 0    Piercing Helm
/item 7 62 0 0 0 0 0 0 0 0    Helm 62
/item 7 63 0 0 0 0 0 0 0 0    Helm 63
/item 7 64 0 0 0 0 0 0 0 0    Helm 64
/item 7 65 0 0 0 0 0 0 0 0    Helm 65
/item 7 66 0 0 0 0 0 0 0 0    Helm 66
/item 7 67 0 0 0 0 0 0 0 0    Helm 67
/item 7 68 0 0 0 0 0 0 0 0    Helm 68
/item 7 69 0 0 0 0 0 0 0 0    Helm 69
/item 7 70 0 0 0 0 0 0 0 0    Helm 70
/item 7 72 0 0 0 0 0 0 0 0    Helm 71
Armors    
/item 8 0 0 0 0 0 0 0 0    0     Bronze Armor
/item 8 1 0 0 0 0 0 0 0 0    Dragon Armor
/item 8 2 0 0 0 0 0 0 0 0    Pad Armor
/item 8 3 0 0 0 0 0 0 0 0    Legendary Armor
/item 8 4 0 0 0 0 0 0 0 0    Bone Armor
/item 8 5 0 0 0 0 0 0 0 0    Leather Armor
/item 8 6 0 0 0 0 0 0 0 0    Scale Armor
/item 8 7 0 0 0 0 0 0 0 0    Sphinx Armor
/item 8 8 0 0 0 0 0 0 0 0    Brass Armor
/item 8 9 0 0 0 0 0 0 0 0    Plate Armor
/item 8 10 0 0 0 0 0 0 0 0    Vine Armor
/item 8 11 0 0 0 0 0 0 0 0    Silk Armor
/item 8 12 0 0 0 0 0 0 0 0    Wind Armor
/item 8 13 0 0 0 0 0 0 0 0    Spirit Armor
/item 8 14 0 0 0 0 0 0 0 0    Guardian Armor
/item 8 15 0 0 0 0 0 0 0 0    Storm Crow Armor
/item 8 16 0 0 0 0 0 0 0 0    Black Dragon Armor
/item 8 17 0 0 0 0 0 0 0 0    Dark Phoenix Armor
/item 8 18 0 0 0 0 0 0 0 0    Grand Soul Armor
/item 8 19 0 0 0 0 0 0 0 0    Divine Armor
/item 8 20 0 0 0 0 0 0 0 0    Thunder Hawk Armor
/item 8 21 0 0 0 0 0 0 0 0    Great Dragon Armor
/item 8 22 0 0 0 0 0 0 0 0    Dark Soul Armor
/item 8 23 0 0 0 0 0 0 0 0    Hurricane Armor
/item 8 24 0 0 0 0 0 0 0 0    Red Sprit Armor
/item 8 25 0 0 0 0 0 0 0 0    Light Plate Armor
/item 8 26 0 0 0 0 0 0 0 0    Adamantine Armor
/item 8 27 0 0 0 0 0 0 0 0    Dark Steel Armor
/item 8 28 0 0 0 0 0 0 0 0    Dark Master Armor
/item 8 29 0 0 0 0 0 0 0 0    Dragon Knight Armor
/item 8 30 0 0 0 0 0 0 0 0    Venom Mist Armor
/item 8 31 0 0 0 0 0 0 0 0    Sylphid Ray Armor
/item 8 32 0 0 0 0 0 0 0 0    Volcano Armor
/item 8 33 0 0 0 0 0 0 0 0    Sunlight Armor
/item 8 34 0 0 0 0 0 0 0 0    Ashcrow Armor
/item 8 35 0 0 0 0 0 0 0 0    Eclipse Armor
/item 8 36 0 0 0 0 0 0 0 0    Iris Armor
/item 8 37 0 0 0 0 0 0 0 0    Valiant Armor
/item 8 38 0 0 0 0 0 0 0 0    Glorious Armor
/item 8 39 0 0 0 0 0 0 0 0    Violent Wind Armor
/item 8 40 0 0 0 0 0 0 0 0    Red Wing Armor
/item 8 41 0 0 0 0 0 0 0 0    Ancient Armor
/item 8 42 0 0 0 0 0 0 0 0    Demonic Armor
/item 8 43 0 0 0 0 0 0 0 0    Storm Blitz Armor
/item 8 45 0 0 0 0 0 0 0 0    Titan  Armor
/item 8 46 0 0 0 0 0 0 0 0    Brave Armor
/item 8 47 0 0 0 0 0 0 0 0    Phantom  Armor
/item 8 48 0 0 0 0 0 0 0 0    Destroy Armor
/item 8 49 0 0 0 0 0 0 0 0    Seraphim Armor
/item 8 50 0 0 0 0 0 0 0 0    Divine Armor
/item 8 51 0 0 0 0 0 0 0 0    Royal Armor
/item 8 52 0 0 0 0 0 0 0 0    Hades Armor
/item 8 59 0 0 0 0 0 0 0 0    Sacred Armor
/item 8 60 0 0 0 0 0 0 0 0    Storm Hard Armor
/item 8 61 0 0 0 0 0 0 0 0    Piercing Armor
/item 8 62 0 0 0 0 0 0 0 0    Armor 62
/item 8 63 0 0 0 0 0 0 0 0    Armor 63
/item 8 64 0 0 0 0 0 0 0 0    Armor 64
/item 8 65 0 0 0 0 0 0 0 0    Armor 65
/item 8 66 0 0 0 0 0 0 0 0    Armor 66
/item 8 67 0 0 0 0 0 0 0 0    Armor 67
/item 8 68 0 0 0 0 0 0 0 0    Armor 68
/item 8 69 0 0 0 0 0 0 0 0    Armor 69
/item 8 70 0 0 0 0 0 0 0 0    Armor 70
/item 8 71 0 0 0 0 0 0 0 0    Armor 71
/item 8 72 0 0 0 0 0 0 0 0    Armor 72
Pants    
/item 9 0 0 0 0 0 0 0 0    0     Bronze Pants
/item 9 1 0 0 0 0 0 0 0 0    Dragon Pants
/item 9 2 0 0 0 0 0 0 0 0    Pad Pants
/item 9 3 0 0 0 0 0 0 0 0    Legendary Pants
/item 9 4 0 0 0 0 0 0 0 0    Bone Pants
/item 9 5 0 0 0 0 0 0 0 0    Leather Pants
/item 9 6 0 0 0 0 0 0 0 0    Scale Pants
/item 9 7 0 0 0 0 0 0 0 0    Sphinx Pants
/item 9 8 0 0 0 0 0 0 0 0    Brass Pants
/item 9 9 0 0 0 0 0 0 0 0    Plate Pants
/item 9 10 0 0 0 0 0 0 0 0    Vine Pants
/item 9 11 0 0 0 0 0 0 0 0    Silk Pants
/item 9 12 0 0 0 0 0 0 0 0    Wind Pants
/item 9 13 0 0 0 0 0 0 0 0    Spirit Pants
/item 9 14 0 0 0 0 0 0 0 0    Guardian Pants
/item 9 15 0 0 0 0 0 0 0 0    Storm Crow Pants
/item 9 16 0 0 0 0 0 0 0 0    Black Dragon Pants
/item 9 17 0 0 0 0 0 0 0 0    Dark Phoenix Pants
/item 9 18 0 0 0 0 0 0 0 0    Grand Soul Pants
/item 9 19 0 0 0 0 0 0 0 0    Divine Pants
/item 9 20 0 0 0 0 0 0 0 0    Thunder Hawk Pants
/item 9 21 0 0 0 0 0 0 0 0    Great Dragon Pants
/item 9 22 0 0 0 0 0 0 0 0    Dark Soul Pants
/item 9 23 0 0 0 0 0 0 0 0    Hurricane Pants
/item 9 24 0 0 0 0 0 0 0 0    Red Spirit Pants
/item 9 25 0 0 0 0 0 0 0 0    Light Plate Pants
/item 9 26 0 0 0 0 0 0 0 0    Adamantine Pants
/item 9 27 0 0 0 0 0 0 0 0    Dark Steel Pants
/item 9 28 0 0 0 0 0 0 0 0    Dark Master Pants
/item 9 29 0 0 0 0 0 0 0 0    Dragon Knight Pants
/item 9 30 0 0 0 0 0 0 0 0    Venom Mist Pants
/item 9 31 0 0 0 0 0 0 0 0    Sylphid Ray Pants
/item 9 32 0 0 0 0 0 0 0 0    Volcano Pants
/item 9 33 0 0 0 0 0 0 0 0    Sunlight Pants
/item 9 34 0 0 0 0 0 0 0 0    Ashcrow Pants
/item 9 35 0 0 0 0 0 0 0 0    Eclipse Pants
/item 9 36 0 0 0 0 0 0 0 0    Iris Pants
/item 9 37 0 0 0 0 0 0 0 0    Valiant Pants
/item 9 38 0 0 0 0 0 0 0 0    Glorious Pants
/item 9 39 0 0 0 0 0 0 0 0    Violent Wind Pants
/item 9 40 0 0 0 0 0 0 0 0    Red Wing Pants
/item 9 41 0 0 0 0 0 0 0 0    Ancient Pants
/item 9 42 0 0 0 0 0 0 0 0    Demonic Pants
/item 9 43 0 0 0 0 0 0 0 0    Storm Blitz Pants
/item 9 45 0 0 0 0 0 0 0 0    Titan  Pants
/item 9 46 0 0 0 0 0 0 0 0    Brave Pants
/item 9 47 0 0 0 0 0 0 0 0    Phantom  Pants
/item 9 48 0 0 0 0 0 0 0 0    Destroy Pants
/item 9 49 0 0 0 0 0 0 0 0    Seraphim Pants
/item 9 50 0 0 0 0 0 0 0 0    Divine Pants
/item 9 51 0 0 0 0 0 0 0 0    Royal Pants
/item 9 52 0 0 0 0 0 0 0 0    Hades Pants
/item 9 59 0 0 0 0 0 0 0 0    Sacred Pants
/item 9 60 0 0 0 0 0 0 0 0    Storm Hard Pants
/item 9 61 0 0 0 0 0 0 0 0    Piercing Pants
/item 9 62 0 0 0 0 0 0 0 0    Pants 62
/item 9 63 0 0 0 0 0 0 0 0    Pants 63
/item 9 64 0 0 0 0 0 0 0 0    Pants 64
/item 9 65 0 0 0 0 0 0 0 0    Pants 65
/item 9 66 0 0 0 0 0 0 0 0    Pants 66
/item 9 67 0 0 0 0 0 0 0 0    Pants 67
/item 9 68 0 0 0 0 0 0 0 0    Pants 68
/item 9 69 0 0 0 0 0 0 0 0    Pants 69
/item 9 70 0 0 0 0 0 0 0 0    Pants 70
/item 9 71 0 0 0 0 0 0 0 0    Pants 71
/item 9 72 0 0 0 0 0 0 0 0    Pants 72
Gloves    
/item 10 0 0 0 0 0 0 0 0 0    Bronze Gloves
/item 10 1 0 0 0 0 0 0 0 0    Dragon Gloves
/item 10 2 0 0 0 0 0 0 0 0    Pad Gloves
/item 10 3 0 0 0 0 0 0 0 0    Legendary Gloves
/item 10 4 0 0 0 0 0 0 0 0    Bone Gloves
/item 10 5 0 0 0 0 0 0 0 0    Leather Gloves
/item 10 6 0 0 0 0 0 0 0 0    Scale Gloves
/item 10 7 0 0 0 0 0 0 0 0    Sphinx Gloves
/item 10 8 0 0 0 0 0 0 0 0    Brass Gloves
/item 10 9 0 0 0 0 0 0 0 0    Plate Gloves
/item 10 10 0 0 0 0 0 0 0 0    Vine Gloves
/item 10 11 0 0 0 0 0 0 0 0    Silk Gloves
/item 10 12 0 0 0 0 0 0 0 0    Wind Gloves
/item 10 13 0 0 0 0 0 0 0 0    Spirit Gloves
/item 10 14 0 0 0 0 0 0 0 0    Guardian Gloves
/item 10 15 0 0 0 0 0 0 0 0    Storm Crow Gloves
/item 10 16 0 0 0 0 0 0 0 0    Black Dragon Gloves
/item 10 17 0 0 0 0 0 0 0 0    Dark Phoenix Gloves
/item 10 18 0 0 0 0 0 0 0 0    Grand Soul Gloves
/item 10 19 0 0 0 0 0 0 0 0    Divine Gloves
/item 10 20 0 0 0 0 0 0 0 0    Thunder Hawk Gloves
/item 10 21 0 0 0 0 0 0 0 0    Great Dragon Gloves
/item 10 22 0 0 0 0 0 0 0 0    Dark Soul Gloves
/item 10 23 0 0 0 0 0 0 0 0    Hurricane Gloves
/item 10 24 0 0 0 0 0 0 0 0    Red Spirit Gloves
/item 10 25 0 0 0 0 0 0 0 0    Light Plate Gloves
/item 10 26 0 0 0 0 0 0 0 0    Adamantine Gloves
/item 10 27 0 0 0 0 0 0 0 0    Dark Steel Gloves
/item 10 28 0 0 0 0 0 0 0 0    Dark Master Gloves
/item 10 29 0 0 0 0 0 0 0 0    Dragon Knight Gloves
/item 10 30 0 0 0 0 0 0 0 0    Venom Mist Gloves
